flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,loyalty_program_level,fleet_type_description,fleet_usage,response_group
950,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,there was no salad dressing. the staff informed me that the flight did not receive any salad dressing for any of the meals.,0 to 70,non-elite,B777-200,Mainline,member
950,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,not a choice.,0 to 70,non-member,B777-200,Mainline,non-member
1876,FLX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,more variety and bigger snacks.,90+,non-elite,A320-200,Mainline,member
5469,SFX,SEX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,"serving pretzels and cookies in first class was extremely disappointing. really, a little thought from chef would go a long way.",90+,premier gold,ERJ-175,Express,member
281,DEX,ANX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,more inflight selections to purchase for full meals.,0 to 70,non-elite,B737-MAX8,Mainline,member
1726,SFX,OGX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,hot food options would be nice.,90+,non-member,B777-200,Mainline,non-member
929,LHX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,"ok, better than most united flights i have been on.",0 to 70,non-member,B767-300,Mainline,non-member
2049,SJX,IAX,2022-09-01,Early & Ontime,Delayed,Latin,"i enjoy illy coffee, but the decaf instant was not all pleasant. do not recommend using that brand for decaf.",90+,non-elite,B737-900,Mainline,member
884,LHX,EWX,2022-09-02,Early & Ontime,Early & Ontime,Atlantic,i had a seltzer.,90+,premier 1k,B767-300,Mainline,member
1282,OGX,LAX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,i thought a 3rd entree should be offered. no real dessert (a cookie) and vodka was a poor choice brand.,0 to 70,non-elite,B737-MAX9,Mainline,member
683,EWX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,beef was too tough to cut or chew.,0 to 70,premier 1k,B777-200,Mainline,member
1635,MCX,IAX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,no_comment,80+,non-member,B737-900,Mainline,non-member
2071,LAX,DEX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,chicken sattar was dry and bland.,90+,premier 1k,B737-800,Mainline,member
1827,SFX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,grateful united has lemons for tea and coke. no other airline does!.,90+,premier silver,B737-900,Mainline,member
1231,YVX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,out of apple juice.,0 to 70,non-member,B737-900,Mainline,non-member
1650,SFX,CMX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,i would have preferred bottled water. not a big deal as it was a red eye flight.,90+,non-elite,A320-200,Mainline,member
965,EWX,NAX,2022-09-02,Early & Ontime,Delayed,Atlantic,having some fresh fruit options (just like apples or oranges or something) would be very nice. it is hard to get fresh fruits and veggies at the airport. also having a small salad with the meal would be recommended over a noodle starter. thank you!.,90+,non-member,B767-300,Mainline,non-member
1673,ORX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,need kosher creamer.,90+,premier gold,B737-900,Mainline,member
1667,SFX,EWX,2022-09-03,Early & Ontime,Delayed,Domestic,the chicken entree was a thai chicken noodle. the problem is thai food tends to contain peanuts and neither of the stewardesses knew if this entree contained peanuts which is important because my son has a peanut allergy.,90+,non-elite,B777-300,Mainline,member
1723,OGX,SFX,2022-09-03,Early & Ontime,Delayed,Domestic,"would like to see a more meal selection, better snacks. like nuts/fruit etc.",80+,non-elite,B777-200,Mainline,member
1523,FLX,EWX,2022-09-03,Delayed,Early & Ontime,Domestic,the travelers should be given 2 snacks instead of 1.,90+,non-member,B737-800,Mainline,non-member
1571,BZX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Latin,"i and my wife did not partake in the complimentary meal that was served. however, we did not receive anything else until we asked for a few snacks. attendent needed to be more attentive to this.",70+,non-elite,B737-900,Mainline,member
494,CLX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,short flight offered a cup of water which was nice.,90+,non-elite,B737-700,Mainline,member
982,DUX,ORX,2022-09-03,Delayed,Delayed,Atlantic,white wine had gone bad;. make sure they cork the bottles or empty them out between flights.,90+,non-member,B757-200,Mainline,non-member
4725,FCX,SFX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,not many it any gluten intolerant options. so much bread and cookies that i could not eat.,90+,non-member,ERJ-175,Express,non-member
1223,EWX,SJX,2022-09-03,Early & Ontime,Early & Ontime,Latin,please improve the coffe.,0 to 70,non-elite,B737-800,Mainline,member
301,SFX,HNX,2022-09-03,Early & Ontime,Delayed,Domestic,"in the pre-order menu the burger, breakfast sandwich, and oatmeal were not offered. would have preferred one of those to getting the snack box. would like to purchase a second alcoholic beverage.",80+,premier silver,B777-200,Mainline,member
775,MCX,IAX,2022-09-03,Delayed,Early & Ontime,Domestic,no_comment,70+,non-member,B737-900,Mainline,non-member
68,KOX,ORX,2022-09-03,Delayed,Delayed,Domestic,that was by far the best food i have ever had on a flight!. i have flown to africa and back many times and never had a meal as delicious as that!.,70+,non-member,B787-10,Mainline,non-member
364,EWX,HNX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,breakfast was good as well.,70+,non-member,B777-200,Mainline,non-member
2099,IAX,MCX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,i wish there was a wider selection of snacks to buy on the plane.,70+,non-elite,B737-900,Mainline,member
5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,quality of the meal was fair at best.,0 to 70,non-elite,B787-9,Mainline,member
5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,"unusually the in flight food was quite satisfying and tasty, could have been a little bigger…especially the ice cream given as dessert. but on a whole very good all round.",0 to 70,non-member,B787-9,Mainline,non-member
122,BCX,EWX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,the burger for the lunch meal did not taste that great. especially for a first class meal a heated up burger was lacking compared to ticket price. the only other feedback is the amount of times someone came with the beverage cart compared to other airlines. other airlines it was more frequent.,90+,premier gold,B777-200,Mainline,member
13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,food quality probably was not up to par with polaris cabin.,80+,premier 1k,B767-300,Mainline,member
13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,please provide more range of vegetarian food.,80+,non-member,B767-300,Mainline,non-member
